id_consumo;id_insumo;id_maquina;cantidad;fecha
610;1200473;VA139;2;17/3/2021
611;1200477;OR149;2;17/3/2021
612;1200478;VA137;2;17/3/2021
613;1206494;OR123;500;17/3/2021
614;1213056;MA084;2500;17/3/2021
615;2006758;OR125;1;17/3/2021
616;1213056;MA036;2500;18/3/2021
617;1163638;MA177;4;19/3/2021
618;1201123;MA122;250;19/3/2021
619;1204137;OR097;2500;19/3/2021
620;1204300;MA101;2500;19/3/2021
621;1206494;MA055;500;19/3/2021
622;1207114;VA140;500;19/3/2021
623;1207130;MA155;500;19/3/2021
624;1207915;MA084;500;19/3/2021
625;1209045;MA120;500;19/3/2021
626;2006758;MA127;20;19/3/2021
627;2100029;MA042;3;19/3/2021
628;3002637;MA177;3;19/3/2021
629;1207393;MA081;2000;20/3/2021
630;1207401;MA101;2000;20/3/2021
631;1209206;OR151;1;20/3/2021
632;2100037;MA116;2;20/3/2021
633;2103826;MA109;1;20/3/2021
634;2107783;MA072;5;20/3/2021
635;2191595;MT104;6;20/3/2021
636;1200815;MA121;2500;22/3/2021
637;1201840;MA050;750;22/3/2021
638;1203452;MA111;750;22/3/2021
639;1213021;MA120;750;22/3/2021
640;1213048;OR096;750;22/3/2021
641;1303312;MA121;1;22/3/2021
642;2400142;MA080;1;22/3/2021
643;1200178;MA055;250;23/3/2021
644;1200259;OR152;250;23/3/2021
645;1200542;MA045;250;23/3/2021
646;1203038;MA154;2500;23/3/2021
647;1203525;MA073;250;23/3/2021
648;1200038;MA036;250;24/3/2021
649;1200435;MA101;250;24/3/2021
650;1202294;MA147;500;24/3/2021
651;1203584;OR142;500;24/3/2021
652;1206400;MA131;500;24/3/2021
653;1207377;MA120;500;24/3/2021
654;1207385;VA162;250;24/3/2021
655;1208487;OR076;500;24/3/2021
656;1213056;MA050;500;24/3/2021
657;2100266;VA164;12;24/3/2021
658;3000257;OR148;2;24/3/2021
659;3001121;VA137;15;24/3/2021
660;3003136;MA100;3;24/3/2021
661;1204137;VA160;5000;25/3/2021
662;1204300;MA465;5000;25/3/2021
663;2006758;VA156;1;25/3/2021
664;2104306;MA045;100;25/3/2021
665;2105275;OR096;20;25/3/2021
666;1205778;MA122;3000;26/3/2021
667;1206400;MA081;3000;26/3/2021
668;2006758;MA087;1;27/3/2021
669;1200038;VA135;750;29/3/2021
670;1200046;VA132;750;29/3/2021
671;1200100;MA089;750;29/3/2021
672;1200432;MT118;250;29/3/2021
673;1202294;MA103;500;29/3/2021
674;1203012;MA090;2;29/3/2021
675;1203015;MA019;20;29/3/2021
676;1204137;MA108;2500;29/3/2021
677;1206494;MA005;500;29/3/2021
678;1207401;MA175;500;29/3/2021
679;2200025;OR152;200;29/3/2021
680;2201046;MA011;5200;29/3/2021
681;2300109;OR097;1;29/3/2021
682;3000389;VA132;10;29/3/2021
683;3000400;OR142;20;29/3/2021
684;1200038;MA172;750;30/3/2021
685;1200046;OR152;750;30/3/2021
686;1200100;OR142;750;30/3/2021
687;1200194;OR149;500;30/3/2021
688;1204137;OR125;2500;30/3/2021
689;1906061;VA166;5;30/3/2021
690;2101157;MA084;50;30/3/2021
